from,to,type,weight
s01,s02,hyperlink,22
s01,s03,hyperlink,22
s01,s04,hyperlink,21
s01,s15,mention,20
s02,s01,hyperlink,23
s02,s03,hyperlink,21
s02,s09,hyperlink,1
s02,s10,hyperlink,5
s03,s01,hyperlink,21
s03,s04,hyperlink,22
s03,s05,hyperlink,1
s03,s08,hyperlink,4
s03,s10,mention,2
s03,s11,hyperlink,1
s03,s12,hyperlink,1
s04,s03,hyperlink,23
s04,s06,mention,1
s04,s11,mention,22
s04,s12,hyperlink,3
s04,s17,mention,2
s05,s01,mention,1
s05,s02,hyperlink,21
s05,s09,hyperlink,2
s05,s15,mention,21
s06,s06,hyperlink,1
s06,s16,hyperlink,21
s06,s17,mention,21
s07,s03,mention,1
s07,s08,mention,22
s07,s10,hyperlink,21
s07,s14,mention,4
s08,s03,hyperlink,2
s08,s07,mention,21
s08,s09,mention,23
s09,s10,mention,21
s10,s03,hyperlink,2
s12,s06,mention,2
s12,s13,hyperlink,22
s12,s14,mention,22
s13,s12,hyperlink,21
s13,s17,mention,1
s14,s11,mention,1
s14,s13,mention,21
s15,s01,hyperlink,22
s15,s04,hyperlink,1
s15,s06,hyperlink,4
s16,s06,hyperlink,23
s16,s17,mention,21
s17,s04,hyperlink,4
